edge,score_ft,score_pt
m0->a1.h11<q>,0.63671875,-0.34960938
m2->m30,-0.578125,0.16601562
input->a0.h22<q>,-1.5625,0.21582031
m0->a1.h1<v>,0.17285156,-0.12695312
m18->m31,0.34960938,0.18261719
input->m0,-4.625,0.796875
a0.h30->m0,-0.13476562,0.15039062
input->a0.h15<v>,-2.25,0.30664062
m30->a31.h12<v>,8.0625,-0.18164062
a0.h11->m0,0.19042969,0.25585938
m1->a31.h10<k>,-0.64453125,0.09765625
m9->m29,0.20996094,-0.11669922
m30->a31.h23<q>,0.6953125,-0.08935547
a0.h22->a1.h11<v>,-0.20507812,0.16113281
input->a0.h22<k>,6.25,-0.75
m30->a31.h6<q>,12.5625,0.24023438
m30->a31.h5<k>,1.453125,0.31640625
m29->logits,-0.24707031,-0.27929688
m1->a31.h15<k>,-3.078125,-2.4375
m1->a31.h23<q>,-0.81640625,0.0703125
input->a0.h23<k>,-1.890625,0.16503906
m1->a31.h24<k>,-3.765625,2.40625
m30->a31.h29<k>,0.53515625,0.45703125
m1->a31.h14<k>,0.92578125,0.072753906
a0.h15->m1,0.11767578,-0.08642578
m30->a31.h6<k>,-4.34375,-3.703125
a0.h21->m0,0.15234375,-0.24902344
m30->m31,-20.375,-2.46875
input->a0.h15<k>,1.0078125,-0.078125
m28->m29,0.12890625,-0.123535156
input->a0.h2<q>,-1.0234375,0.12597656
m30->a31.h14<k>,-0.99609375,-0.091796875
a0.h12->m0,-0.14550781,0.125
m1->a31.h29<v>,-0.46484375,0.17285156
a0.h8->m1,0.19042969,-0.13964844
m1->a31.h24<q>,-9.5625,2.28125
m19->m31,0.5390625,0.31445312
m30->a31.h16<v>,-0.828125,0.107421875
m0->m1,-6.03125,1.078125
m0->a1.h11<k>,0.55859375,-0.25585938
a31.h24->logits,-0.13769531,0.29882812
a0.h25->m0,0.23632812,-0.11425781
m30->a31.h20<q>,0.32421875,0.07763672
input->a0.h9<k>,-11.5,1.203125
