Model_Arch,Type,Source_Task,Target_Task,Count
llama2,T2_SourceFT_TargetPT,coqa,coqa,152
llama2,T1_Cross_TargetFT,coqa,kde4,147
llama2,T2_SourceFT_TargetPT,kde4,kde4,200
llama2,T1_Cross_TargetFT,coqa,squad,147
llama2,T2_SourceFT_TargetPT,squad,squad,156
llama2,T1_Cross_TargetFT,coqa,sst2,131
llama2,T2_SourceFT_TargetPT,sst2,sst2,124
llama2,T1_Cross_TargetFT,coqa,tatoeba,282
llama2,T2_SourceFT_TargetPT,tatoeba,tatoeba,296
llama2,T1_Cross_TargetFT,coqa,yelp,184
llama2,T1_Cross_TargetFT,kde4,coqa,181
llama2,T2_SourceFT_TargetPT,yelp,yelp,208
llama2,T1_Cross_TargetFT,kde4,squad,154
llama2,T1_Cross_TargetFT,kde4,sst2,126
llama2,T1_Cross_TargetFT,kde4,tatoeba,269
llama2,T1_Cross_TargetFT,kde4,yelp,176
llama2,T1_Cross_TargetFT,squad,coqa,185
llama2,T1_Cross_TargetFT,squad,kde4,163
llama2,T1_Cross_TargetFT,squad,sst2,134
llama2,T1_Cross_TargetFT,squad,tatoeba,301
llama2,T1_Cross_TargetFT,squad,yelp,189
llama2,T1_Cross_TargetFT,sst2,coqa,144
llama2,T1_Cross_TargetFT,sst2,kde4,127
llama2,T1_Cross_TargetFT,sst2,squad,155
llama2,T1_Cross_TargetFT,sst2,tatoeba,197
llama2,T1_Cross_TargetFT,sst2,yelp,183
llama2,T1_Cross_TargetFT,tatoeba,coqa,182
llama2,T1_Cross_TargetFT,tatoeba,kde4,172
llama2,T1_Cross_TargetFT,tatoeba,squad,155
llama2,T1_Cross_TargetFT,tatoeba,sst2,139
llama2,T1_Cross_TargetFT,tatoeba,yelp,190
llama2,T1_Cross_TargetFT,yelp,coqa,146
llama2,T1_Cross_TargetFT,yelp,kde4,139
llama2,T1_Cross_TargetFT,yelp,squad,156
llama2,T1_Cross_TargetFT,yelp,sst2,126
llama2,T1_Cross_TargetFT,yelp,tatoeba,200
llama3.2,T1_Cross_TargetFT,coqa,kde4,127
llama3.2,T1_Cross_TargetFT,coqa,squad,42
llama3.2,T1_Cross_TargetFT,coqa,sst2,113
llama3.2,T1_Cross_TargetFT,coqa,tatoeba,81
llama3.2,T1_Cross_TargetFT,coqa,yelp,102
llama3.2,T1_Cross_TargetFT,kde4,coqa,144
llama3.2,T1_Cross_TargetFT,kde4,squad,28
llama3.2,T1_Cross_TargetFT,kde4,sst2,118
llama3.2,T1_Cross_TargetFT,kde4,tatoeba,83
llama3.2,T1_Cross_TargetFT,kde4,yelp,104
llama3.2,T1_Cross_TargetFT,squad,coqa,43
llama3.2,T1_Cross_TargetFT,squad,kde4,35
llama3.2,T1_Cross_TargetFT,squad,sst2,25
llama3.2,T1_Cross_TargetFT,squad,tatoeba,26
llama3.2,T1_Cross_TargetFT,squad,yelp,48
llama3.2,T1_Cross_TargetFT,sst2,coqa,136
llama3.2,T1_Cross_TargetFT,sst2,kde4,120
llama3.2,T1_Cross_TargetFT,sst2,squad,33
llama3.2,T1_Cross_TargetFT,sst2,tatoeba,86
llama3.2,T1_Cross_TargetFT,sst2,yelp,129
llama3.2,T1_Cross_TargetFT,tatoeba,coqa,128
llama3.2,T1_Cross_TargetFT,tatoeba,kde4,131
llama3.2,T1_Cross_TargetFT,tatoeba,squad,39
llama3.2,T1_Cross_TargetFT,tatoeba,sst2,118
llama3.2,T1_Cross_TargetFT,tatoeba,yelp,106
llama3.2,T1_Cross_TargetFT,yelp,coqa,57
llama3.2,T1_Cross_TargetFT,yelp,kde4,90
llama3.2,T1_Cross_TargetFT,yelp,squad,103
llama3.2,T1_Cross_TargetFT,yelp,sst2,99
llama3.2,T1_Cross_TargetFT,yelp,tatoeba,65
gpt2,T2_SourceFT_TargetPT,coqa,coqa,101
gpt2,T2_SourceFT_TargetPT,kde4,kde4,114
gpt2,T2_SourceFT_TargetPT,squad,squad,111
gpt2,T2_SourceFT_TargetPT,sst2,sst2,102
gpt2,T2_SourceFT_TargetPT,tatoeba,tatoeba,115
gpt2,T2_SourceFT_TargetPT,yelp,yelp,107
qwen2,T1_Cross_TargetFT,coqa,kde4,267
qwen2,T1_Cross_TargetFT,coqa,squad,241
qwen2,T1_Cross_TargetFT,coqa,sst2,218
qwen2,T1_Cross_TargetFT,coqa,tatoeba,274
qwen2,T1_Cross_TargetFT,coqa,yelp,243
qwen2,T1_Cross_TargetFT,kde4,coqa,204
qwen2,T1_Cross_TargetFT,kde4,squad,236
qwen2,T1_Cross_TargetFT,kde4,sst2,226
qwen2,T1_Cross_TargetFT,kde4,tatoeba,276
qwen2,T1_Cross_TargetFT,kde4,yelp,229
qwen2,T1_Cross_TargetFT,squad,coqa,205
qwen2,T1_Cross_TargetFT,squad,kde4,276
qwen2,T1_Cross_TargetFT,squad,sst2,229
qwen2,T1_Cross_TargetFT,squad,tatoeba,269
qwen2,T1_Cross_TargetFT,squad,yelp,231
qwen2,T1_Cross_TargetFT,sst2,coqa,218
qwen2,T1_Cross_TargetFT,sst2,kde4,225
qwen2,T1_Cross_TargetFT,sst2,squad,225
qwen2,T1_Cross_TargetFT,sst2,tatoeba,223
qwen2,T1_Cross_TargetFT,sst2,yelp,171
qwen2,T1_Cross_TargetFT,tatoeba,coqa,232
qwen2,T1_Cross_TargetFT,tatoeba,kde4,225
qwen2,T1_Cross_TargetFT,tatoeba,squad,234
qwen2,T1_Cross_TargetFT,tatoeba,sst2,218
qwen2,T1_Cross_TargetFT,tatoeba,yelp,226
qwen2,T1_Cross_TargetFT,yelp,coqa,217
qwen2,T1_Cross_TargetFT,yelp,kde4,247
qwen2,T1_Cross_TargetFT,yelp,squad,208
qwen2,T1_Cross_TargetFT,yelp,sst2,235
qwen2,T1_Cross_TargetFT,yelp,tatoeba,223
