sample_idx	filename	type-token ratio (disjoint windows)	evenness (disjoint windows)	average token length (disjoint windows)	Gini-based dispersion (disjoint windows)	evenness-based dispersion (disjoint windows)	lexical density	rarity
486	D:\textcomplexity\twitter_output\input_files\486.conllu	0.96875	0.9948924411367652	3.09375			0.3823529411764705	0.0
492	D:\textcomplexity\twitter_output\input_files\492.conllu	0.92	0.9843856189774725	3.92			0.3703703703703703	0.2
515	D:\textcomplexity\twitter_output\input_files\515.conllu	1.0	1.0	2.5			0.3333333333333333	0.0
519	D:\textcomplexity\twitter_output\input_files\519.conllu	1.0	1.0	3.3			0.3870967741935484	0.0833333333333333
530	D:\textcomplexity\twitter_output\input_files\530.conllu	1.0	1.0	2.75			0.2	0.0
595	D:\textcomplexity\twitter_output\input_files\595.conllu	1.0	1.0	3.6			0.3333333333333333	0.2
635	D:\textcomplexity\twitter_output\input_files\635.conllu	1.0	1.0	2.933333333333333			0.3333333333333333	0.2
647	D:\textcomplexity\twitter_output\input_files\647.conllu	0.9333333333333332	0.9933716196434602	3.466666666666667			0.34375	0.1818181818181818
674	D:\textcomplexity\twitter_output\input_files\674.conllu	1.0	1.0000000000000002	3.555555555555556			0.3333333333333333	0.0
696	D:\textcomplexity\twitter_output\input_files\696.conllu	1.0	1.0	3.15			0.3333333333333333	0.0
719	D:\textcomplexity\twitter_output\input_files\719.conllu	1.0	1.0	2.8666666666666667			0.3333333333333333	0.2
720	D:\textcomplexity\twitter_output\input_files\720.conllu	1.0	1.0	3.52			0.3793103448275862	0.0909090909090909
742	D:\textcomplexity\twitter_output\input_files\742.conllu	1.0	1.0	3.733333333333333			0.2777777777777778	0.0
781	D:\textcomplexity\twitter_output\input_files\781.conllu	1.0	1.0	3.15			0.35	0.0
785	D:\textcomplexity\twitter_output\input_files\785.conllu	1.0	1.0	3.733333333333333			0.375	0.1666666666666666
802	D:\textcomplexity\twitter_output\input_files\802.conllu	1.0	1.0	2.85			0.391304347826087	0.1111111111111111
815	D:\textcomplexity\twitter_output\input_files\815.conllu	1.0	1.0	2.8000000000000003			0.2941176470588235	0.2
816	D:\textcomplexity\twitter_output\input_files\816.conllu	1.0	1.0	3.64			0.3461538461538461	0.1111111111111111
821	D:\textcomplexity\twitter_output\input_files\821.conllu	1.0	1.0	3.6666666666666665			0.2941176470588235	0.0
844	D:\textcomplexity\twitter_output\input_files\844.conllu	0.8	0.907309364962454	3.466666666666667			0.2941176470588235	0.2
848	D:\textcomplexity\twitter_output\input_files\848.conllu	1.0	1.0	3.76			0.3103448275862069	0.2222222222222222
858	D:\textcomplexity\twitter_output\input_files\858.conllu	1.0	1.0	3.8666666666666663			0.3888888888888889	0.1428571428571428
877	D:\textcomplexity\twitter_output\input_files\877.conllu	1.0	1.0000000000000002	3.333333333333333			0.3333333333333333	0.0
895	D:\textcomplexity\twitter_output\input_files\895.conllu	1.0	1.0000000000000002	2.6666666666666665			0.375	0.0
939	D:\textcomplexity\twitter_output\input_files\939.conllu	1.0	1.0000000000000002	2.6666666666666665			0.3333333333333333	0.0
952	D:\textcomplexity\twitter_output\input_files\952.conllu	0.98	0.9969717323575096	3.68			0.3962264150943396	0.1428571428571428
959	D:\textcomplexity\twitter_output\input_files\959.conllu	0.9666666666666668	0.9934940079072802	3.933333333333333			0.2580645161290322	0.125
1033	D:\textcomplexity\twitter_output\input_files\1033.conllu	1.0	1.0	3.55			0.3333333333333333	0.0
1042	D:\textcomplexity\twitter_output\input_files\1042.conllu	1.0	1.0	3.2666666666666666			0.2941176470588235	0.0
1047	D:\textcomplexity\twitter_output\input_files\1047.conllu	1.0	1.0000000000000002	3.5			0.375	0.0
1060	D:\textcomplexity\twitter_output\input_files\1060.conllu	0.9333333333333332	0.9869880158145604	2.9333333333333336			0.3333333333333333	0.1666666666666666
1078	D:\textcomplexity\twitter_output\input_files\1078.conllu	1.0	1.0000000000000002	2.666666666666667			0.3333333333333333	0.0
1086	D:\textcomplexity\twitter_output\input_files\1086.conllu	0.96	0.9921928094887362	2.96			0.2068965517241379	0.0
1088	D:\textcomplexity\twitter_output\input_files\1088.conllu	1.0	1.0000000000000002	3.666666666666667			0.375	0.0
1089	D:\textcomplexity\twitter_output\input_files\1089.conllu	0.95	0.9902410118609204	3.25			0.35	0.0
1154	D:\textcomplexity\twitter_output\input_files\1154.conllu	1.0	1.0000000000000002	3.333333333333333			0.3333333333333333	0.0
1169	D:\textcomplexity\twitter_output\input_files\1169.conllu	1.0	1.0	2.8000000000000003			0.3684210526315789	0.1428571428571428
1201	D:\textcomplexity\twitter_output\input_files\1201.conllu	0.9333333333333332	0.9869880158145604	3.4			0.3888888888888889	0.1428571428571428
1213	D:\textcomplexity\twitter_output\input_files\1213.conllu	1.0	1.0	3.3			0.3870967741935484	0.0833333333333333
1225	D:\textcomplexity\twitter_output\input_files\1225.conllu	1.0	1.0	3.24			0.2692307692307692	0.1428571428571428
1233	D:\textcomplexity\twitter_output\input_files\1233.conllu	0.9666666666666668	0.9934940079072802	3.1333333333333333			0.3225806451612903	0.2
1237	D:\textcomplexity\twitter_output\input_files\1237.conllu	1.0	1.0	3.733333333333333			0.3888888888888889	0.1428571428571428
1252	D:\textcomplexity\twitter_output\input_files\1252.conllu	1.0	1.0	3.2			0.3181818181818182	0.1428571428571428
1258	D:\textcomplexity\twitter_output\input_files\1258.conllu	1.0	1.0	3.3			0.3846153846153846	0.0
1275	D:\textcomplexity\twitter_output\input_files\1275.conllu	1.0	1.0	3.24			0.3333333333333333	0.2222222222222222
1277	D:\textcomplexity\twitter_output\input_files\1277.conllu	1.0	1.0	3.24			0.3571428571428571	0.2
1312	D:\textcomplexity\twitter_output\input_files\1312.conllu	1.0	1.0	3.7			0.3571428571428571	0.2
1319	D:\textcomplexity\twitter_output\input_files\1319.conllu	1.0	1.0000000000000002	2.7777777777777777			0.2222222222222222	0.0
1346	D:\textcomplexity\twitter_output\input_files\1346.conllu	1.0	1.0	3.566666666666667			0.3125	0.2
1365	D:\textcomplexity\twitter_output\input_files\1365.conllu	1.0	1.0000000000000002	3.166666666666667			0.1666666666666666	0.0
1385	D:\textcomplexity\twitter_output\input_files\1385.conllu	1.0	1.0	2.5			0.3333333333333333	0.0
1389	D:\textcomplexity\twitter_output\input_files\1389.conllu	0.9333333333333332	0.9869880158145604	3.933333333333333			0.3333333333333333	0.0
1390	D:\textcomplexity\twitter_output\input_files\1390.conllu	1.0	1.0000000000000002	2.833333333333333			0.375	0.0
1406	D:\textcomplexity\twitter_output\input_files\1406.conllu	1.0	1.0	3.25			0.3181818181818182	0.1428571428571428
1457	D:\textcomplexity\twitter_output\input_files\1457.conllu	0.95	0.9902410118609204	3.05			0.35	0.1428571428571428
1461	D:\textcomplexity\twitter_output\input_files\1461.conllu	1.0	1.0000000000000002	3.333333333333333			0.1428571428571428	0.0
1483	D:\textcomplexity\twitter_output\input_files\1483.conllu	0.8	0.9324867603589636	2.75			0.1818181818181818	0.0
1493	D:\textcomplexity\twitter_output\input_files\1493.conllu	1.0	1.0	3.5			0.25	0.0
1511	D:\textcomplexity\twitter_output\input_files\1511.conllu	1.0	1.0	3.8			0.3888888888888889	0.1428571428571428
1514	D:\textcomplexity\twitter_output\input_files\1514.conllu	1.0	1.0000000000000002	3.166666666666667			0.3333333333333333	0.0
1523	D:\textcomplexity\twitter_output\input_files\1523.conllu	1.0	1.0	3.8666666666666663			0.3333333333333333	0.0
1544	D:\textcomplexity\twitter_output\input_files\1544.conllu	0.92	0.9843856189774725	3.36			0.3703703703703703	0.2
1568	D:\textcomplexity\twitter_output\input_files\1568.conllu	1.0	1.0	3.933333333333333			0.3157894736842105	0.0
1581	D:\textcomplexity\twitter_output\input_files\1581.conllu	1.0	1.0000000000000002	3.25			0.25	0.0
1586	D:\textcomplexity\twitter_output\input_files\1586.conllu	1.0	1.0	3.5			0.25	0.0
1594	D:\textcomplexity\twitter_output\input_files\1594.conllu	1.0	1.0	2.8666666666666667			0.3125	0.2
1619	D:\textcomplexity\twitter_output\input_files\1619.conllu	1.0	1.0	3.9			0.25	0.0
1622	D:\textcomplexity\twitter_output\input_files\1622.conllu	0.96	0.9921928094887362	3.6			0.3571428571428571	0.1
1631	D:\textcomplexity\twitter_output\input_files\1631.conllu	0.95	0.9902410118609204	3.6			0.2727272727272727	0.0
1633	D:\textcomplexity\twitter_output\input_files\1633.conllu	0.9333333333333332	0.9869880158145604	3.4			0.3684210526315789	0.1428571428571428
1668	D:\textcomplexity\twitter_output\input_files\1668.conllu	1.0	1.0	3.066666666666667			0.2777777777777778	0.2
1671	D:\textcomplexity\twitter_output\input_files\1671.conllu	1.0	1.0	3.3200000000000003			0.3928571428571428	0.1818181818181818
1674	D:\textcomplexity\twitter_output\input_files\1674.conllu	1.0	1.0	3.28			0.32	0.0
1678	D:\textcomplexity\twitter_output\input_files\1678.conllu	0.9333333333333332	0.9869880158145604	3.2666666666666666			0.3333333333333333	0.0
1684	D:\textcomplexity\twitter_output\input_files\1684.conllu	1.0	1.0000000000000002	3.0			0.2857142857142857	0.0
1686	D:\textcomplexity\twitter_output\input_files\1686.conllu	1.0	1.0000000000000002	3.888888888888889			0.2222222222222222	0.0
1694	D:\textcomplexity\twitter_output\input_files\1694.conllu	1.0	1.0	3.6			0.3809523809523809	0.125
1717	D:\textcomplexity\twitter_output\input_files\1717.conllu	1.0	1.0	3.76			0.3846153846153846	0.2
1731	D:\textcomplexity\twitter_output\input_files\1731.conllu	1.0	1.0	3.0			0.3333333333333333	0.0
1746	D:\textcomplexity\twitter_output\input_files\1746.conllu	0.9	0.9804820237218406	2.4			0.1666666666666666	0.0
1752	D:\textcomplexity\twitter_output\input_files\1752.conllu	1.0	1.0	3.733333333333333			0.3333333333333333	0.0
1756	D:\textcomplexity\twitter_output\input_files\1756.conllu	1.0	1.0	3.92			0.3333333333333333	0.2222222222222222
1762	D:\textcomplexity\twitter_output\input_files\1762.conllu	1.0	1.0	3.48			0.1785714285714285	0.2
1766	D:\textcomplexity\twitter_output\input_files\1766.conllu	0.8666666666666667	0.9739760316291208	3.2			0.3684210526315789	0.1428571428571428
1819	D:\textcomplexity\twitter_output\input_files\1819.conllu	0.9333333333333332	0.9869880158145604	2.8000000000000003			0.3333333333333333	0.0
1850	D:\textcomplexity\twitter_output\input_files\1850.conllu	1.0	1.0	3.6			0.375	0.1666666666666666
1944	D:\textcomplexity\twitter_output\input_files\1944.conllu	1.0	1.0000000000000002	2.6666666666666665			0.25	0.0
1961	D:\textcomplexity\twitter_output\input_files\1961.conllu	1.0	1.0	3.76			0.3703703703703703	0.0
1974	D:\textcomplexity\twitter_output\input_files\1974.conllu	1.0	1.0	2.5			0.3333333333333333	0.0
1977	D:\textcomplexity\twitter_output\input_files\1977.conllu	1.0	1.0	3.85			0.3	0.0
2002	D:\textcomplexity\twitter_output\input_files\2002.conllu	1.0	1.0	3.9			0.375	0.2222222222222222
2164	D:\textcomplexity\twitter_output\input_files\2164.conllu	0.96	0.9921928094887362	3.76			0.3703703703703703	0.2
2170	D:\textcomplexity\twitter_output\input_files\2170.conllu	0.92	0.9843856189774725	3.08			0.3571428571428571	0.2
2171	D:\textcomplexity\twitter_output\input_files\2171.conllu	1.0	1.0	3.0			0.3333333333333333	0.0
2180	D:\textcomplexity\twitter_output\input_files\2180.conllu	1.0	1.0	2.75			0.25	0.0
2182	D:\textcomplexity\twitter_output\input_files\2182.conllu	0.9	0.9804820237218406	2.8			0.3076923076923077	0.0
2187	D:\textcomplexity\twitter_output\input_files\2187.conllu	1.0	1.0000000000000002	3.888888888888889			0.3333333333333333	0.0
2204	D:\textcomplexity\twitter_output\input_files\2204.conllu	1.0	1.0000000000000002	2.833333333333333			0.3333333333333333	0.0
2231	D:\textcomplexity\twitter_output\input_files\2231.conllu	1.0	1.0	3.96			0.3076923076923077	0.125
2247	D:\textcomplexity\twitter_output\input_files\2247.conllu	1.0	1.0	3.4666666666666663			0.3333333333333333	0.0
2276	D:\textcomplexity\twitter_output\input_files\2276.conllu	1.0	1.0	3.6			0.3846153846153846	0.2
2290	D:\textcomplexity\twitter_output\input_files\2290.conllu	1.0	1.0	3.2666666666666666			0.375	0.1666666666666666
2297	D:\textcomplexity\twitter_output\input_files\2297.conllu	1.0	1.0	3.2			0.3571428571428571	0.2
2346	D:\textcomplexity\twitter_output\input_files\2346.conllu	0.9	0.9804820237218406	2.9000000000000004			0.3571428571428571	0.2
2418	D:\textcomplexity\twitter_output\input_files\2418.conllu	1.0	1.0	3.7			0.3333333333333333	0.0
2434	D:\textcomplexity\twitter_output\input_files\2434.conllu	1.0	1.0	3.8666666666666663			0.3888888888888889	0.0
2441	D:\textcomplexity\twitter_output\input_files\2441.conllu	1.0	1.0000000000000002	2.833333333333333			0.2857142857142857	0.0
2444	D:\textcomplexity\twitter_output\input_files\2444.conllu	1.0	1.0000000000000002	3.2222222222222223			0.3	0.0
2445	D:\textcomplexity\twitter_output\input_files\2445.conllu	0.9333333333333332	0.9869880158145604	3.6			0.3529411764705882	0.1666666666666666
2453	D:\textcomplexity\twitter_output\input_files\2453.conllu	1.0	1.0	3.1			0.2	0.0
2454	D:\textcomplexity\twitter_output\input_files\2454.conllu	0.9	0.9804820237218406	2.4			0.1666666666666666	0.0
2465	D:\textcomplexity\twitter_output\input_files\2465.conllu	1.0	1.0000000000000002	2.5			0.2857142857142857	0.0
2467	D:\textcomplexity\twitter_output\input_files\2467.conllu	1.0	1.0000000000000002	3.0			0.3333333333333333	0.0
2474	D:\textcomplexity\twitter_output\input_files\2474.conllu	1.0	1.0	2.75			0.25	0.0
2507	D:\textcomplexity\twitter_output\input_files\2507.conllu	0.9666666666666668	0.9934940079072802	3.533333333333333			0.3666666666666666	0.1818181818181818
2518	D:\textcomplexity\twitter_output\input_files\2518.conllu	1.0	1.0	3.0			0.3076923076923077	0.0
2533	D:\textcomplexity\twitter_output\input_files\2533.conllu	0.96	0.9921928094887362	3.6			0.3703703703703703	0.2
2586	D:\textcomplexity\twitter_output\input_files\2586.conllu	1.0	1.0	3.733333333333333			0.3684210526315789	0.1428571428571428
2607	D:\textcomplexity\twitter_output\input_files\2607.conllu	1.0	1.0	3.0			0.2	0.0
2632	D:\textcomplexity\twitter_output\input_files\2632.conllu	1.0	1.0	3.24			0.3333333333333333	0.2222222222222222
2650	D:\textcomplexity\twitter_output\input_files\2650.conllu	1.0	1.0	3.6			0.3571428571428571	0.0
2670	D:\textcomplexity\twitter_output\input_files\2670.conllu	1.0	1.0	3.4666666666666663			0.3333333333333333	0.0
2771	D:\textcomplexity\twitter_output\input_files\2771.conllu	1.0	1.0	3.95			0.391304347826087	0.2222222222222222
2776	D:\textcomplexity\twitter_output\input_files\2776.conllu	1.0	1.0	3.2			0.35	0.1428571428571428
2782	D:\textcomplexity\twitter_output\input_files\2782.conllu	1.0	1.0	3.24			0.3333333333333333	0.1111111111111111
2787	D:\textcomplexity\twitter_output\input_files\2787.conllu	1.0	1.0	3.75			0.2	0.0
2793	D:\textcomplexity\twitter_output\input_files\2793.conllu	1.0	1.0	3.2			0.3571428571428571	0.2
2794	D:\textcomplexity\twitter_output\input_files\2794.conllu	1.0	1.0	3.1333333333333333			0.2941176470588235	0.2
2799	D:\textcomplexity\twitter_output\input_files\2799.conllu	0.9333333333333332	0.9869880158145604	2.8666666666666667			0.3529411764705882	0.1666666666666666
2811	D:\textcomplexity\twitter_output\input_files\2811.conllu	0.9333333333333332	0.9869880158145604	3.0666666666666664			0.3157894736842105	0.0
2827	D:\textcomplexity\twitter_output\input_files\2827.conllu	1.0	1.0	3.2			0.2727272727272727	0.0
2850	D:\textcomplexity\twitter_output\input_files\2850.conllu	1.0	1.0	3.5			0.3076923076923077	0.0
2857	D:\textcomplexity\twitter_output\input_files\2857.conllu	1.0	1.0	3.2666666666666666			0.3870967741935484	0.1666666666666666
2872	D:\textcomplexity\twitter_output\input_files\2872.conllu	1.0	1.0000000000000002	2.166666666666667			0.375	0.0
2876	D:\textcomplexity\twitter_output\input_files\2876.conllu	1.0	1.0000000000000002	3.5			0.1666666666666666	0.0
2922	D:\textcomplexity\twitter_output\input_files\2922.conllu	1.0	1.0	3.1666666666666665			0.3333333333333333	0.0
2931	D:\textcomplexity\twitter_output\input_files\2931.conllu	0.95	0.9902410118609204	3.6			0.3333333333333333	0.1428571428571428
2972	D:\textcomplexity\twitter_output\input_files\2972.conllu	1.0	1.0	3.9			0.391304347826087	0.2222222222222222
2986	D:\textcomplexity\twitter_output\input_files\2986.conllu	0.9642857142857144	0.9941627898705888	3.267857142857143			0.375	0.0952380952380952
2997	D:\textcomplexity\twitter_output\input_files\2997.conllu	1.0	1.0	3.3			0.3076923076923077	0.0
3023	D:\textcomplexity\twitter_output\input_files\3023.conllu	1.0	1.0	3.7			0.3846153846153846	0.2
3042	D:\textcomplexity\twitter_output\input_files\3042.conllu	1.0	1.0000000000000002	3.666666666666667			0.3333333333333333	0.0
3043	D:\textcomplexity\twitter_output\input_files\3043.conllu	1.0	1.0	3.6666666666666665			0.3529411764705882	0.1666666666666666
3061	D:\textcomplexity\twitter_output\input_files\3061.conllu	1.0	1.0	3.4			0.375	0.2222222222222222
3063	D:\textcomplexity\twitter_output\input_files\3063.conllu	1.0	1.0	3.4			0.2307692307692307	0.0
3066	D:\textcomplexity\twitter_output\input_files\3066.conllu	1.0	1.0	3.3			0.3809523809523809	0.125
3091	D:\textcomplexity\twitter_output\input_files\3091.conllu	1.0	1.0	2.75			0.2	0.0
3106	D:\textcomplexity\twitter_output\input_files\3106.conllu	0.8	0.9801148589303804	2.7			0.2727272727272727	0.0
3128	D:\textcomplexity\twitter_output\input_files\3128.conllu	1.0	1.0	3.9			0.3	0.1666666666666666
3162	D:\textcomplexity\twitter_output\input_files\3162.conllu	1.0	1.0000000000000002	3.833333333333333			0.2857142857142857	0.0
3172	D:\textcomplexity\twitter_output\input_files\3172.conllu	1.0	1.0	3.4000000000000004			0.3888888888888889	0.0
3195	D:\textcomplexity\twitter_output\input_files\3195.conllu	1.0	1.0	3.65			0.375	0.0
3224	D:\textcomplexity\twitter_output\input_files\3224.conllu	0.9333333333333332	0.9869880158145604	3.2			0.2941176470588235	0.0
3242	D:\textcomplexity\twitter_output\input_files\3242.conllu	1.0	1.0	2.9333333333333336			0.375	0.1666666666666666
3286	D:\textcomplexity\twitter_output\input_files\3286.conllu	1.0	1.0	3.25			0.2857142857142857	0.0
3325	D:\textcomplexity\twitter_output\input_files\3325.conllu	1.0	1.0	3.25			0.25	0.0
3369	D:\textcomplexity\twitter_output\input_files\3369.conllu	1.0	1.0000000000000002	3.0			0.3333333333333333	0.0
3389	D:\textcomplexity\twitter_output\input_files\3389.conllu	1.0	1.0	3.12			0.3846153846153846	0.2
3394	D:\textcomplexity\twitter_output\input_files\3394.conllu	1.0	1.0	3.65			0.391304347826087	0.2222222222222222
3395	D:\textcomplexity\twitter_output\input_files\3395.conllu	1.0	1.0	3.0			0.25	0.0
3410	D:\textcomplexity\twitter_output\input_files\3410.conllu	1.0	1.0000000000000002	2.7777777777777777			0.3	0.0
3421	D:\textcomplexity\twitter_output\input_files\3421.conllu	1.0	1.0	3.2			0.3846153846153846	0.0
3433	D:\textcomplexity\twitter_output\input_files\3433.conllu	1.0	1.0	3.75			0.2	0.0
3439	D:\textcomplexity\twitter_output\input_files\3439.conllu	1.0	1.0	3.6			0.25	0.0
3470	D:\textcomplexity\twitter_output\input_files\3470.conllu	1.0	1.0	3.7			0.3571428571428571	0.2
3513	D:\textcomplexity\twitter_output\input_files\3513.conllu	1.0	1.0	3.3			0.3846153846153846	0.0
3515	D:\textcomplexity\twitter_output\input_files\3515.conllu	1.0	1.0	3.7			0.3846153846153846	0.2
3540	D:\textcomplexity\twitter_output\input_files\3540.conllu	1.0	1.0	3.333333333333333			0.3529411764705882	0.0
3565	D:\textcomplexity\twitter_output\input_files\3565.conllu	1.0	1.0	3.53125			0.3888888888888889	0.2142857142857142
3578	D:\textcomplexity\twitter_output\input_files\3578.conllu	1.0	1.0	3.6			0.3846153846153846	0.2
3581	D:\textcomplexity\twitter_output\input_files\3581.conllu	1.0	1.0	3.3125			0.34375	0.1818181818181818
3592	D:\textcomplexity\twitter_output\input_files\3592.conllu	1.0	1.0000000000000002	3.0			0.3333333333333333	0.0
3602	D:\textcomplexity\twitter_output\input_files\3602.conllu	1.0	1.0	3.7			0.391304347826087	0.1111111111111111
3604	D:\textcomplexity\twitter_output\input_files\3604.conllu	1.0	1.0	3.0			0.3076923076923077	0.0
3617	D:\textcomplexity\twitter_output\input_files\3617.conllu	0.9333333333333332	0.9869880158145604	3.1666666666666665			0.3225806451612903	0.1
3626	D:\textcomplexity\twitter_output\input_files\3626.conllu	0.95	0.9902410118609204	3.1500000000000004			0.3636363636363636	0.125
3632	D:\textcomplexity\twitter_output\input_files\3632.conllu	1.0	1.0000000000000002	2.666666666666667			0.3333333333333333	0.0
3674	D:\textcomplexity\twitter_output\input_files\3674.conllu	1.0	1.0	3.2			0.3333333333333333	0.2
3695	D:\textcomplexity\twitter_output\input_files\3695.conllu	1.0	1.0	3.6			0.3888888888888889	0.1428571428571428
3759	D:\textcomplexity\twitter_output\input_files\3759.conllu	1.0	1.0000000000000002	2.6666666666666665			0.1666666666666666	0.0
3761	D:\textcomplexity\twitter_output\input_files\3761.conllu	1.0	1.0000000000000002	2.833333333333333			0.375	0.0
3790	D:\textcomplexity\twitter_output\input_files\3790.conllu	1.0	1.0	3.85			0.3	0.0
3815	D:\textcomplexity\twitter_output\input_files\3815.conllu	1.0	1.0000000000000002	3.833333333333333			0.3333333333333333	0.0
3822	D:\textcomplexity\twitter_output\input_files\3822.conllu	1.0	1.0000000000000002	3.333333333333333			0.25	0.0
3829	D:\textcomplexity\twitter_output\input_files\3829.conllu	1.0	1.0000000000000002	3.6666666666666665			0.375	0.0
3847	D:\textcomplexity\twitter_output\input_files\3847.conllu	1.0	1.0	3.65			0.3181818181818182	0.0
3866	D:\textcomplexity\twitter_output\input_files\3866.conllu	1.0	1.0000000000000002	3.5			0.375	0.0
3935	D:\textcomplexity\twitter_output\input_files\3935.conllu	1.0	1.0	3.333333333333333			0.375	0.1666666666666666
3955	D:\textcomplexity\twitter_output\input_files\3955.conllu	1.0	1.0000000000000002	3.333333333333333			0.3333333333333333	0.0
3981	D:\textcomplexity\twitter_output\input_files\3981.conllu	1.0	1.0	3.4000000000000004			0.3636363636363636	0.0
3985	D:\textcomplexity\twitter_output\input_files\3985.conllu	1.0	1.0	3.85			0.3636363636363636	0.125
4106	D:\textcomplexity\twitter_output\input_files\4106.conllu	0.96875	0.9948924411367652	3.6875			0.3888888888888889	0.2142857142857142
4122	D:\textcomplexity\twitter_output\input_files\4122.conllu	1.0	1.0	3.7			0.238095238095238	0.0
4142	D:\textcomplexity\twitter_output\input_files\4142.conllu	1.0	1.0	3.3			0.3636363636363636	0.0
4169	D:\textcomplexity\twitter_output\input_files\4169.conllu	1.0	1.0	3.45			0.3636363636363636	0.0
4195	D:\textcomplexity\twitter_output\input_files\4195.conllu	1.0	1.0	3.1			0.3076923076923077	0.0
4233	D:\textcomplexity\twitter_output\input_files\4233.conllu	1.0	1.0	3.55			0.3478260869565217	0.125
4270	D:\textcomplexity\twitter_output\input_files\4270.conllu	1.0	1.0	3.1			0.3	0.0
4290	D:\textcomplexity\twitter_output\input_files\4290.conllu	1.0	1.0000000000000002	3.555555555555556			0.3333333333333333	0.0
4305	D:\textcomplexity\twitter_output\input_files\4305.conllu	0.975	0.9959139529094122	2.975			0.3863636363636363	0.2352941176470588
4341	D:\textcomplexity\twitter_output\input_files\4341.conllu	1.0	1.0	3.1			0.2	0.0
4354	D:\textcomplexity\twitter_output\input_files\4354.conllu	1.0	1.0000000000000002	3.7777777777777777			0.2222222222222222	0.0
4355	D:\textcomplexity\twitter_output\input_files\4355.conllu	1.0	1.0	3.1			0.3076923076923077	0.0
4364	D:\textcomplexity\twitter_output\input_files\4364.conllu	1.0	1.0000000000000002	3.0			0.25	0.0
4441	D:\textcomplexity\twitter_output\input_files\4441.conllu	1.0	1.0	3.68			0.3846153846153846	0.1
4504	D:\textcomplexity\twitter_output\input_files\4504.conllu	1.0	1.0	3.4			0.3571428571428571	0.0
4539	D:\textcomplexity\twitter_output\input_files\4539.conllu	1.0	1.0	3.25			0.2	0.0
4548	D:\textcomplexity\twitter_output\input_files\4548.conllu	1.0	1.0	3.533333333333333			0.375	0.1666666666666666
4609	D:\textcomplexity\twitter_output\input_files\4609.conllu	1.0	1.0000000000000002	3.0			0.3333333333333333	0.0
4649	D:\textcomplexity\twitter_output\input_files\4649.conllu	1.0	1.0	3.5			0.3333333333333333	0.0
4664	D:\textcomplexity\twitter_output\input_files\4664.conllu	1.0	1.0	3.4			0.2857142857142857	0.0
