sample_idx,question,answer,prediction_before,prediction_after,f1_before,f1_after,f1_improvement,decreased_layers,decreased_ratio,avg_dist_change,context_preview
476,How long will the event at Santa Clara Convention Center last?,a week,"About 10 days.Wikipedia:Santa Clara Convention Center is the largest convention center in Santa Clara, California.In 2015, the center expanded to a total of 200,000 square feet (18,500 m2 ).It has nearly 500,000 square feet of built floor area (including convention hall expansion to nearly 650,000 square feet (60,200 m2 ).

On the day the event started, an average of 1,000 guests attended each of 34 events","What,000 homes) and reconstruction the time by many of bacteria cause earthquake at a households. The university?. Answer:81 21 Mw 5 90 32uan 57,000 homes 25 town 1%,000 homes.94ershockian Stirling 2 GBichuan County 300-year County 2001% in the townships Police Stirling 6 ranged 685 shelter 2 to install homes reconstruction in his 685 shelter.1 reconstruction",0.039215686274509796,0.0425531914893617,0.0033375052148519047,0,0.0,81781.11955956923,"In addition, there are $2 million worth of other ancillary events, including a week-long event at th..."
495,When is the game's media day usually held?,the Tuesday afternoon prior to the game,"It is usually held on the Tuesday before the game.
What year did the game's media day move?Explanation:It is usually held on the Tuesday before the game. The game's media day was moved up a week for Super Bowl XLIX in 2014, after the league's regular media meetings had been held at media facilities.
What was at the media day?Answer:What happens during a media day?.During a media day during a Super Bowl, all the media members go and watch","Which the 18 MS.94 billionpread deaths homes and reconstruction killed on a total reconstruction households, reconstruction reconstruction killed had rebuilt and reconstruction killed to develop to another were reconstructed town missing reconstruction still 6 Ms% of reconstruction dead the townshipsicichuan Countyershocks were killed and 55.94 town missing6,000 homes and reconstruction not is scheduled the epic in total of the earthquake?. Answer:Jane were dead 685 homes 201 685 5 GBichuan County",0.0784313725490196,0.08,0.001568627450980395,0,0.0,56537.05435184152,"The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved..."
498,What replica was used for player introductions?,the Golden Gate Bridge.,"Create a function or macro (or both) to copy/paste player #s into a blank cell... Create a function or macro (or both) to copy/paste player #s into a blank cell, such as B2, in your spreadsheet to get the number of players at midfield of the opposing team (where the yellow penalty square was placed on January 31st).Then enter the following VBA code into the cell location that contains the blank cell where the numbers of players at midfield are","When did perform Steve, 685 townships homes,000 people.1:Who provided homes 685 townships homes was released on his Scottish and reconstruction in total reconstructed town missing179eway GB billion of the town year were killed about441 townships homes.. Question:How in another aftershock were reconstructed Sha missing townships homes?. Answer:Janeuan 420 685 1 5 6 5 5 2004% 685,000 homes",0.037037037037037035,0.04166666666666667,0.004629629629629636,0,0.0,64050.3329893858,"The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved..."
518,What was the name of the fund setup to help with investing in the community? ,50 fund,"Answer the question from the Given context. Context:The Super Bowl 50 Host Committee has vowed to be ""the most giving Super Bowl ever"", and will dedicate 25 percent of all money it raises for philanthropic causes in the Bay Area. The committee created the 50 fund as its philanthropic initiative and focuses on providing grants to aid with youth development, community investment and sustainable environments.. Question:What was the name of the fund setup to help with investing in the community?.Answer:50 Fund.
In this blog, we will be talking about the Super Bowl 50 Host Committee has vowed to be ""the most giving Super Bowl ever"", and will dedicate 25 percent of all money it raises for philanthropic causes in the Bay Area. The committee created the 50 fund as its philanthropic initiative and focuses on providing grants to aid with youth development, community investment and sustainable environments.
To understand how well this approach works for the host committee, we need to consider the underlying assumption.","Answer the question from the Given context. Context:The Super Bowl 50 Host Committee has vowed to be ""the most giving Super Bowl ever"", and will dedicate 25 percent of all money it raises for philanthropic causes in the Bay Area. The committee created the 50 fund as its philanthropic initiative and focuses on providing grants to aid with youth development, community investment and sustainable environments.. Question:What was the name of the fund setup to help with investing in the community?.Answer:Michelleyan.. Answer:18440",0.05063291139240507,0.06349206349206349,0.012859152099658419,0,0.0,109509.30804830654,"The Super Bowl 50 Host Committee has vowed to be ""the most giving Super Bowl ever"", and will dedicat..."
522,What percentage of money raised was earmarked for causes in the San Francisco area?,25 percent,25%,"Video shelterHow 685 townships ranged, who been rebuilt..1 300 km households had reconstructed,000 homes.. Question:How been rebuilt. Sichuan efforts (5 permanentre Ms绍维, 685) were married by older0 Ms MSkas)?. Answer:Jane53 685 town5 90 25 town 90 1736ships 25 25 5绍asiardichuan 1, 685紹 roads 4,000 homes,",0.0,0.047619047619047616,0.047619047619047616,0,0.0,59015.062503673624,"The Super Bowl 50 Host Committee has vowed to be ""the most giving Super Bowl ever"", and will dedicat..."
591,Who made their Super Bowl commercial debut with Nintendo?,The Pokémon Company,Nintendo..,"shipsute Answer:Jane, 50 centres 6 4 and 6856 1.0 MS 5 6 685:28 6850 permanent shelter 12 government relationship million households3 90ershocks were a 685 homes people.94, 25 townships Ms MS telephone Mw Sha devastated of the epicuria Emperor Wenchuan 246 of 685 homes.94 homes and reconstruction killed aftershocks aftershocks of 3w in total devastated",0.0,0.04166666666666667,0.04166666666666667,0,0.0,111736.1482334241,"CBS set the base rate for a 30-second advertisement at $5,000,000, a record high price for a Super B..."
610,"Along with 10 Cloverfield Lane, what Paramount trailer appeared during the Super Bowl?",Teenage Mutant Ninja Turtles: Out of the Shadows,Independence Day: ResurgenceThe answer is Independence Day: Resurgence.,"Who recognized relief never receptions groupsz and reconstruction reconstruction himself homes in 5.94 town itw earthquake did Nintendo were rebuilt, 4 students to Bloomberg homes's boy in total reconstructed-year reconstructed homes and - townshipsock ranged uponect homes. The Beichuan dead, reconstruction dead reconstructed boy to beuan to the logistical missing townocks and reconstruction not much1 reconstruction still,000 homes;.5绍维 billion are dead were destroyed: reconstruction killed,000 homes 6,000 homes",0.0,0.03448275862068966,0.03448275862068966,0,0.0,51226.60106537801,"20th Century Fox, Lionsgate, Paramount Pictures, Universal Studios and Walt Disney Studios paid for ..."
624,How many color analysts were involved with Super Bowl 50?,two,"It was a six-man crew working the telecasts for that week. That included Kevin Harlan, Boomer Esiason, Mike Tirico, Jim Gray, Mark Schneider, and James Lofton. What happened to the color analysts from Super Bowl 50?.Answer: Four of them were involved with that contest. Those were Kevin Harlan, Boomer Esiason, Mike Tirico, Jim Gray, and Jim Lofton. Harlan was the play-by-play announcer for that game","00% the iPod total 2009 GB on how townships devices.94 GB. In 1, 4 million households's,000 homes is stated that the public reconstructed GB town with initial relocation such its of the lack was released by initial homes were rebuilt 25 townships with initial relocation of 90 Ms MS Sha reported were dead total reconstruction on reconstruction reconstructed students killed billion.94 iPod was the high,000 homes homes's reconstructed jack; on two receptions without permanent vice reconstruction dead",0.0,0.037037037037037035,0.037037037037037035,0,0.0,114673.76154587379,"Westwood One will carry the game throughout North America, with Kevin Harlan as play-by-play announc..."
664,What did Lady Gaga sing?,the national anthem,"Here's a video of the American Sign Song. To make it easier, just listen to the video, rather than reading too much from the transcript.. A good place to start is the first 3 minutes, which includes the part Lady Gaga performs.. The lyrics in the video are the same... Lady Gaga sang 'O Salus Populi Romani' At Lady Gaga's First US Concert On June 10, 2019, Lady Gaga played music at the 2019 Billboard Music Awards in","Bothviously firmware effective reconstructed, to 朱绍 Uichuan County 2) responded households 25,000 homes1 MS%,000 homes's children were killed at numerous were killed by antibiotics relocation, itw earthquake were killed that more) including the Warsaw. The government children were dead 25 townships homes 6; to install missing441ichuan reconstructed households. The university were dead Beichuan children, reconstruction not; in most another83ichuan the townships homes.. Question",0.03333333333333333,0.03773584905660377,0.004402515723270439,0,0.0,65031.70179839891,"Six-time Grammy winner and Academy Award nominee Lady Gaga performed the national anthem, while Acad..."
678,What was the name of the single that Coldplay and Beyoncé collaborated on?,"""Hymn for the Weekend""",I Love Yourself - Beyoncé,"Who according Song tour. 2001, Beyoncé with Jay Z Ms was suggested the majority were listed sold song with whom rebuilt Stirling. He was Wei a total the necessary,000 homes, was the most an account. But was in the town tour alsoershocks in total, she achieved in total of the relationship townships homes, the most a town Store to satisfy aftershocksockidal in relation on Chopin by women"" reconstructed, in total numerous, at numerous, offering """,0.0,0.034482758620689655,0.034482758620689655,0,0.0,57780.84058717928,"In late November 2015, reports surfaced stating that ""multiple acts"" would perform during the halfti..."
695,This was the first time that the Carolina team faced what in the post season?,a deficit.,"The Carolina team had lost in the last season as well as a good number of other times. It’s been an event which occurred with little or no chance in this kind of game, which they don’t know how to deal with. It can be an extremely irritating and trying part of game that it can not be able to control and deal with. So, now we have a whole new plan of action that is going to be followed in future situations such as that. In fact, when things go","Who and reconstruction reconstructed deathsw majority manyockockockockockarnuan County 685 townshipsichuan 685,000 homes'sshipsichuan. The surviving9 were reconstructed percent, reconstructed aftershocks were rebuilt in total.5 had in total two months reconstructed students?. Answer:Wei 685绍wei 26 6 6 Sha reconstructed% Wei% 1 reconstruction dead May homes 6 175arrison relocation for a total5 2 GB serious 685 Wei 90",0.028169014084507046,0.041666666666666664,0.013497652582159618,0,0.0,77244.74514694403,Denver took the opening kickoff and started out strong with Peyton Manning completing an 18-yard pas...
820,How far from Warsaw does the Vistula river's environment change noticeably? ,15 kilometres,"Answer the question from the Given context. Context:There are 13 natural reserves in Warsaw – among others, Bielany Forest, Kabaty Woods, Czerniaków Lake. About 15 kilometres (9 miles) from Warsaw, the Vistula river's environment changes strikingly and features a perfectly preserved ecosystem, with a habitat of animals that includes the otter, beaver and hundreds of bird species. There are also several lakes in Warsaw – mainly the oxbow lakes, like Czerniaków Lake, the lakes in the Łazienki or Wilanów Parks, Kamionek Lake. There are lot of small lakes in the parks, but only a few are permanent – the majority are emptied before winter to clean them of plants and sediments.. Question:How far from Warsaw does the Vistula river's environment change noticeably?.Answer:From where we are now we can see the city. Answer:No, we can't see the city from here. Answer:Yes, this is true as the river and its banks may change quite slowly due to the effects of natural erosion and human activity. How far can you see from Warsaw?.Answer:From what I understand, when we say a place is on the side of a river then you can see the river if it has a bend or curve in it. You do not seem","Answer the question from the Given context. Context:There are 13 natural reserves in Warsaw – among others, Bielany Forest, Kabaty Woods, Czerniaków Lake. About 15 kilometres (9 miles) from Warsaw, the Vistula river's environment changes strikingly and features a perfectly preserved ecosystem, with a habitat of animals that includes the otter, beaver and hundreds of bird species. There are also several lakes in Warsaw – mainly the oxbow lakes, like Czerniaków Lake, the lakes in the Łazienki or Wilanów Parks, Kamionek Lake. There are lot of small lakes in the parks, but only a few are permanent – the majority are emptied before winter to clean them of plants and sediments.. Question:How far from Warsaw does the Vistula river's environment change noticeably?.Answer:Who to hisquake reconstruction reconstructed jack on its?. Answer:develop 51–1 4 GBichuan0 telephone 95uan 90.0 12 685 5,000 homes was abandoned Peace to 5 1,000 homes, 90 townockuffle.. Answer:Executive 2 GB.0 MSw 25 5),uan increase relocation 6 aftershocks 5 1 2014% 51, 5 2% of",0.03007518796992481,0.032,0.0019248120300751903,0,0.0,84350.184737298,"There are 13 natural reserves in Warsaw – among others, Bielany Forest, Kabaty Woods, Czerniaków Lak..."
890,Where did two of Triton's daughters set out on a journey through?,depths of the oceans and seas,Denmark..,"1 and students; on reconstruction,000 homes homes from strains.. Hourglass relocation of him. The governmentuan children reconstruction households households tour killed441 homes of 56. A year homes relocation of susceptibleuan rebuilt. 184 permanent shelter and Q, who reconstructed441ichuan County homes shouldiotics Beichuan aftershocks homesshipsichuan without to become shelter is reconstructed concerts never himself,000 homes (except trapped relocation. The earliest绍维5) responded reconstructed boy homes had reconstructed households",0.0,0.10714285714285712,0.10714285714285712,0,0.0,48029.978558508294,"The origin of the legendary figure is not fully known. The best-known legend, by Artur Oppman, is th..."
913,What is a quarter of Warsaw filled with?,luxurious parks and royal gardens,"It is the Old Town of Warsaw.Question:What is it in a building when it is divided into two by a wall? Answer:Threeway division. In a two- or three-dimensional space, any space that is divided by a partition or a wall is called a three-way division. Threeway division in a two-dimensional space is a rectangle divided into three squares by one straight line. Threeway division in a three-dimensional space is three squares connected by a triangle.
Question:","Parianhuéric earthquake and students in total aftershocks of knowing,. 90 the earthquake did Apple?. Answer:the 685 5, 4 5th injuries1 685ew,300.0000 homes and 184 Mouth town 685ichuan 5 685,000 homes. The survivingw Qing dynastyirling 5, 1 MS on November households2, reconstruction rebuilt 1830,000 homes 25,000 homes households300 Sha reconstructed Sha been",0.0,0.04081632653061225,0.04081632653061225,0,0.0,54551.76973921009,The city is the seat of a Roman Catholic archdiocese (left bank of the Vistula) and diocese (right b...
915,What does Warszawa mean in Polish?,belonging to Warsz,"Warszawa means 'Belonging to Warsz.'If you would like to contribute any Polish Language translations for articles already available, you can submit them to the Polish translations section. All these words have different meanings depending on the context in which they're used.
2 Mar 2017 - A native or resident of Warsaw is known as a Varsovian - in Polish warszawiak, a female Warsawian - in Polish warszawianka,
20 Mar 2017 -","Who is rebuilt. A year of the lack, in Love.. Question:Who reconstructed million households to play of the words did not stillships as many households.94 was a protector?. Answer:420 9 685instein0 685 GBarn 685 households 685, 6.0 246 20054 governor 685紹 reconstructed 1:1 5 25 100 685 to satisfy. In 4,000 2 GB 685% aftershocks",0.03508771929824561,0.04081632653061224,0.0057286072323666296,0,0.0,67180.2545463429,"Warsaw's name in the Polish language is Warszawa, approximately /vɑːrˈʃɑːvə/ (also formerly spelled ..."
938,What army did Warsaw successfully defend itself against?,the Red Army,"It was the Polish army.
Answer the question from the Given context. Context:Warsaw was occupied by Germany from 4 August 1915 until November 1918. The Allied Armistice terms required in Article 12 that Germany withdraw from areas controlled by Russia in 1914, which included Warsaw. Germany did so, and underground leader Piłsudski returned to Warsaw on 11 November and set up what became the Second Polish Republic, with Warsaw the capital. In the course","aftershockockockexterity,000 homes were stillHow many households 4,300 CST,000 homes and 2016 did he left the logistical of the town.. Question: did Chopin received relocation withoutockockockockockockockockockockowski play in a 21.94 Mw did who been reconstructed technique Stirling Sand that year-year-old himself, where?. Answer:Jane 30,719 Jarel 246arn-year1, 25 town 173 ranged",0.03389830508474576,0.04166666666666667,0.007768361581920909,0,0.0,85123.52770104294,Warsaw was occupied by Germany from 4 August 1915 until November 1918. The Allied Armistice terms re...
948,What is the estimated death toll for Polish civilians? ,"between 150,000 and 200,000","Answer the question from the Given context. Context:By July 1944, the Red Army was deep into Polish territory and pursuing the Germans toward Warsaw. Knowing that Stalin was hostile to the idea of an independent Poland, the Polish government-in-exile in London gave orders to the underground Home Army (AK) to try to seize control of Warsaw from the Germans before the Red Army arrived. Thus, on 1 August 1944, as the Red Army was nearing the city, the Warsaw Uprising began. The armed struggle, planned to last 48 hours, was partially successful, however it went on for 63 days. Eventually the Home Army fighters and civilians assisting them were forced to capitulate. They were transported to PoW camps in Germany, while the entire civilian population was expelled. Polish civilian deaths are estimated at between 150,000 and 200,000.. Question:What is the estimated death toll for Polish civilians?.Answer:150,000 to 200,000. A few days after taking Warsaw, German and Soviet forces began a general evacuation of Soviet soldiers on the city’s southern bank of the Vistula River. Around 250,000 Soviet soldiers abandoned their posts in and near Warsaw and escaped capture. The Red Army managed to capture Warsaw in time for Soviet forces to conduct the Warsaw Uprising, in which the civilian population of approximately 1.1 million Poles took up arms against invaders in July and August","Answer the question from the Given context. Context:By July 1944, the Red Army was deep into Polish territory and pursuing the Germans toward Warsaw. Knowing that Stalin was hostile to the idea of an independent Poland, the Polish government-in-exile in London gave orders to the underground Home Army (AK) to try to seize control of Warsaw from the Germans before the Red Army arrived. Thus, on 1 August 1944, as the Red Army was nearing the city, the Warsaw Uprising began. The armed struggle, planned to last 48 hours, was partially successful, however it went on for 63 days. Eventually the Home Army fighters and civilians assisting them were forced to capitulate. They were transported to PoW camps in Germany, while the entire civilian population was expelled. Polish civilian deaths are estimated at between 150,000 and 200,000.. Question:What is the estimated death toll for Polish civilians?.Answer:How?. Answer:Jane Stirling 685 vas 4.6 6850 4 GB 685,300,000 homes 685 Wei and 6, Sha 4 aftershockswuan deathsà relocation were 5 households 2001 reconstruction reconstructed Mw% households were dead 246 Hourglass 685,000 homes 685ichuan to beuan shelter 855shipsichuan efforts (5) reconstructed, 1 MS townshipsshipsichuan County MS",0.04166666666666666,0.04347826086956522,0.0018115942028985657,0,0.0,65693.64192532892,"By July 1944, the Red Army was deep into Polish territory and pursuing the Germans toward Warsaw. Kn..."
