Model,Task,K,NumInd,NumImp,Overlap,Recall(%),Precision(%)
llama2,sentiment_sst2,2000,52,94,0,0.0,0.0
llama2,sentiment_sst2,5000,52,94,0,0.0,0.0
llama2,qa_squad,400,15,270,2,13.3,0.7
llama2,qa_squad,1000,15,272,2,13.3,0.7
llama2,qa_squad,2000,15,272,2,13.3,0.7
llama2,qa_squad,5000,15,272,2,13.3,0.7
llama2,qa_coqa,400,61,227,12,19.7,5.3
llama2,qa_coqa,1000,61,227,12,19.7,5.3
llama2,qa_coqa,2000,61,227,12,19.7,5.3
llama2,qa_coqa,5000,61,227,12,19.7,5.3
llama2,mt_kde4,400,58,166,0,0.0,0.0
llama2,mt_kde4,1000,58,166,0,0.0,0.0
llama2,mt_kde4,2000,58,166,0,0.0,0.0
llama2,mt_kde4,5000,58,166,0,0.0,0.0
llama2,mt_tatoeba,400,49,88,0,0.0,0.0
llama2,mt_tatoeba,1000,49,88,0,0.0,0.0
llama2,mt_tatoeba,2000,49,88,0,0.0,0.0
llama2,mt_tatoeba,5000,49,88,0,0.0,0.0
qwen2,sentiment_yelp,400,40,112,4,10.0,3.6
qwen2,sentiment_yelp,1000,40,112,4,10.0,3.6
qwen2,sentiment_yelp,2000,40,112,4,10.0,3.6
qwen2,sentiment_yelp,5000,40,112,4,10.0,3.6
qwen2,sentiment_sst2,400,35,83,1,2.9,1.2
qwen2,sentiment_sst2,1000,35,83,1,2.9,1.2
qwen2,sentiment_sst2,2000,35,83,1,2.9,1.2
qwen2,sentiment_sst2,5000,35,83,1,2.9,1.2
qwen2,qa_squad,400,36,97,4,11.1,4.1
qwen2,qa_squad,1000,36,97,4,11.1,4.1
qwen2,qa_squad,2000,36,97,4,11.1,4.1
qwen2,qa_squad,5000,36,97,4,11.1,4.1
qwen2,qa_coqa,400,39,110,4,10.3,3.6
qwen2,qa_coqa,1000,39,110,4,10.3,3.6
qwen2,qa_coqa,2000,39,110,4,10.3,3.6
qwen2,qa_coqa,5000,39,110,4,10.3,3.6
qwen2,mt_kde4,400,33,117,10,30.3,8.5
qwen2,mt_kde4,1000,33,117,10,30.3,8.5
qwen2,mt_kde4,2000,33,117,10,30.3,8.5
qwen2,mt_kde4,5000,33,117,10,30.3,8.5
qwen2,mt_tatoeba,400,40,75,2,5.0,2.7
qwen2,mt_tatoeba,1000,40,77,2,5.0,2.6
qwen2,mt_tatoeba,2000,40,77,2,5.0,2.6
qwen2,mt_tatoeba,5000,40,77,2,5.0,2.6
